epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5918,4.4518,4.00545,3.45389,0.07616,0.10863,0.02967,0.0075,3.21205,7.32299,2.09708,0.0700642,0.0033262,0.0033262
2,113.07,3.2861,2.74636,1.94668,0.12153,0.16443,0.06032,0.01531,2.83962,13.4035,1.66418,0.0400609,0.00665623,0.00665623
3,167.045,3.06469,2.64583,1.72653,0.10885,0.14626,0.05502,0.01593,2.76905,9.26611,1.64292,0.0100543,0.00998297,0.00998297
4,222.734,2.95514,2.60341,1.64613,0.10947,0.12524,0.04692,0.01304,2.6873,8.895,1.60941,0.00998515,0.00998515,0.00998515
5,276.107,2.87923,2.57913,1.61779,0.11922,0.16253,0.0594,0.01613,2.63975,10.137,1.49883,0.0099802,0.0099802,0.0099802
6,329.027,2.84109,2.54961,1.57546,0.15532,0.13896,0.07243,0.01951,2.60226,7.10365,1.45593,0.00997525,0.00997525,0.00997525
7,381.528,2.81492,2.53126,1.55984,0.1618,0.15001,0.07776,0.02172,2.56008,8.62908,1.4943,0.0099703,0.0099703,0.0099703
8,435.524,2.79681,2.51132,1.5418,0.16271,0.17836,0.08742,0.02348,2.57389,8.17495,1.46744,0.00996535,0.00996535,0.00996535
9,488.682,2.76081,2.49593,1.52414,0.17233,0.18181,0.09028,0.02446,2.52185,8.90025,1.44728,0.0099604,0.0099604,0.0099604
10,543.099,2.75235,2.49466,1.50498,0.16484,0.17451,0.08737,0.025,2.49517,7.45868,1.4489,0.00995545,0.00995545,0.00995545
11,596.28,2.73925,2.47569,1.49171,0.14462,0.18944,0.08297,0.0218,2.51407,10.5806,1.41486,0.0099505,0.0099505,0.0099505
12,648.634,2.72668,2.45809,1.49732,0.14205,0.19656,0.08134,0.02264,2.50043,11.1444,1.40893,0.00994555,0.00994555,0.00994555
13,701.271,2.71898,2.46743,1.48862,0.1501,0.17752,0.07698,0.0221,2.48691,8.32976,1.41575,0.0099406,0.0099406,0.0099406
14,753.52,2.69936,2.4706,1.47888,0.14371,0.20415,0.08183,0.02281,2.47583,9.89722,1.40347,0.00993565,0.00993565,0.00993565
